event_type,return,abs_return,direction
market_open,0.001613523844203657,0.001613523844203657,1.0
market_close,-0.00047123245983526907,0.00047123245983526907,-1.0
postmarket_close,-0.0008597651882221724,0.0008597651882221724,-1.0
premarket_open,-0.002777925492053246,0.002777925492053246,-1.0
market_open,0.003283011664278357,0.003283011664278357,1.0
market_close,-0.0022733451923282466,0.0022733451923282466,-1.0
postmarket_close,-0.0014016377375775102,0.0014016377375775102,-1.0
premarket_open,-0.0012670266341950898,0.0012670266341950898,-1.0
market_open,-0.0004007562160877054,0.0004007562160877054,-1.0
market_close,0.0008048954672119635,0.0008048954672119635,1.0
postmarket_close,-0.0008169864436478047,0.0008169864436478047,-1.0
premarket_open,0.0014338745800619446,0.0014338745800619446,1.0
market_open,-0.0001814988732256051,0.0001814988732256051,-1.0
market_close,-0.0013704490179580198,0.0013704490179580198,-1.0
postmarket_close,0.0004289558018133466,0.0004289558018133466,1.0
premarket_open,0.0005752031766059762,0.0005752031766059762,1.0
market_open,-0.0019804585867722047,0.0019804585867722047,-1.0
market_close,-0.001039086004617995,0.001039086004617995,-1.0
postmarket_close,0.00010769287699385899,0.00010769287699385899,1.0
premarket_open,-0.0006680652377725194,0.0006680652377725194,-1.0
market_open,0.0007238717262583183,0.0007238717262583183,1.0
market_close,0.00043349459038877214,0.00043349459038877214,1.0
postmarket_close,6.70247440663907e-05,6.70247440663907e-05,1.0
premarket_open,0.0014583428759662453,0.0014583428759662453,1.0
market_open,-0.000569486755861659,0.000569486755861659,-1.0
market_close,-0.000938997026752042,0.000938997026752042,-1.0
postmarket_close,0.000575909850789591,0.000575909850789591,1.0
premarket_open,0.0009197036978194628,0.0009197036978194628,1.0
market_open,-0.0008649093904448124,0.0008649093904448124,-1.0
market_close,7.122162544836996e-05,7.122162544836996e-05,1.0
postmarket_close,-0.00038245406484527233,0.00038245406484527233,-1.0
premarket_open,-0.0014092982679839716,0.0014092982679839716,-1.0
market_open,-0.000985169108521755,0.000985169108521755,-1.0
market_close,0.0008021366830155419,0.0008021366830155419,1.0
postmarket_close,-0.0006831948922617626,0.0006831948922617626,-1.0
premarket_open,0.0003531236851961328,0.0003531236851961328,1.0
market_open,0.0022005253871861807,0.0022005253871861807,1.0
market_close,0.0012653901255936795,0.0012653901255936795,1.0
postmarket_close,0.0016417236657333412,0.0016417236657333412,1.0
